iter	MultiClass
0	1.567290289
1	1.531886375
2	1.499171322
3	1.47613202
4	1.450463802
5	1.432182527
6	1.412844334
7	1.394965079
8	1.376260074
9	1.360881254
10	1.346899842
11	1.333422034
12	1.323062811
13	1.3129491
14	1.300652137
15	1.290710866
16	1.281887244
17	1.272362985
18	1.264551615
19	1.25544827
20	1.248419497
21	1.242183755
22	1.234706365
23	1.228743835
24	1.222459425
25	1.215538373
26	1.20922417
27	1.202975446
28	1.198449608
29	1.193937808
30	1.188745607
31	1.184373954
32	1.17979597
33	1.175658704
34	1.171959589
35	1.168551957
36	1.16550614
37	1.1610933
38	1.158170843
39	1.156197695
40	1.153249228
41	1.150159921
42	1.147268498
43	1.145274223
44	1.143209643
45	1.140547594
46	1.137685697
47	1.135744097
48	1.134583559
49	1.132072506
50	1.130380803
51	1.127900083
52	1.12600361
53	1.124058781
54	1.122230374
55	1.120190585
56	1.11894227
57	1.1172527
58	1.115003855
59	1.112988114
60	1.111879003
61	1.11051498
62	1.109168975
63	1.108124459
64	1.107011847
65	1.106089472
66	1.104493795
67	1.103937242
68	1.102824253
69	1.101903682
70	1.100644598
71	1.098934975
72	1.097866495
73	1.096923992
74	1.095663065
75	1.095169422
76	1.094219382
77	1.093622337
78	1.092718652
79	1.091347028
80	1.090918095
81	1.089963265
82	1.088616774
83	1.087438494
84	1.08645255
85	1.085926905
86	1.084678834
87	1.084163641
88	1.082980999
89	1.082324378
90	1.081463037
91	1.08080832
92	1.079768215
93	1.079377827
94	1.078685104
95	1.078412033
96	1.077935141
97	1.077541975
98	1.07656778
99	1.075513612
100	1.075256945
101	1.075062901
102	1.074686554
103	1.074211746
104	1.073835001
105	1.073339503
106	1.072427994
107	1.071988721
108	1.071563733
109	1.071151298
110	1.070986252
111	1.070763543
112	1.070019291
113	1.069604981
114	1.068882759
115	1.068559837
116	1.068283684
117	1.068061439
118	1.067785872
119	1.067528879
120	1.066348702
121	1.065645972
122	1.065381033
123	1.065257738
124	1.065098693
125	1.064696417
126	1.064374895
127	1.06413393
128	1.063367173
129	1.063131288
130	1.062827257
131	1.062240147
132	1.062014691
133	1.061574695
134	1.061296843
135	1.061053174
136	1.060638711
137	1.060043098
138	1.059685185
139	1.059536638
140	1.058988187
141	1.05875489
142	1.058275659
143	1.057964763
144	1.057803237
145	1.057157039
146	1.056807789
147	1.056424012
148	1.056102307
149	1.055684375
150	1.05526947
151	1.055144057
152	1.054972523
153	1.054562418
154	1.054276259
155	1.054119689
156	1.053724351
157	1.053158759
158	1.052975242
159	1.052828003
160	1.052624277
161	1.052337059
162	1.052117082
163	1.051844077
164	1.051529053
165	1.051100196
166	1.05089442
167	1.050750883
168	1.050219405
169	1.049997309
170	1.049817748
171	1.049729924
172	1.049311038
173	1.048841945
174	1.048596754
175	1.048253048
176	1.047715133
177	1.047301243
178	1.047121396
179	1.046763704
180	1.046635692
181	1.046515188
182	1.046054357
183	1.045701836
184	1.045390642
185	1.045338564
186	1.0451671
187	1.044821853
188	1.044608222
189	1.044482329
190	1.044305031
191	1.044097447
192	1.044023715
193	1.043551618
194	1.043143235
195	1.043014481
196	1.042733594
197	1.042565534
198	1.042361053
199	1.042156249
200	1.042074469
201	1.041978685
202	1.041608872
203	1.041444973
204	1.041296047
205	1.040921819
206	1.04071073
207	1.04040641
208	1.040113544
209	1.039872218
210	1.039425129
211	1.039283713
212	1.039108078
213	1.038885274
214	1.038432727
215	1.037901385
216	1.037362196
217	1.037209095
218	1.036985857
219	1.036863051
220	1.036454592
221	1.036378272
222	1.035947315
223	1.035540591
224	1.035410884
225	1.035310572
226	1.034977481
227	1.034742878
228	1.034363939
229	1.034157072
230	1.033958704
231	1.033791748
232	1.033527989
233	1.033356957
234	1.033230122
235	1.032927472
236	1.032685967
237	1.032479691
238	1.032344042
239	1.032135129
240	1.032042474
241	1.031710137
242	1.03160488
243	1.031433036
244	1.031254003
245	1.031018628
246	1.0309406
247	1.03070062
248	1.030361023
249	1.030201758
250	1.029843131
251	1.02967521
252	1.029534906
253	1.029239929
254	1.02911028
255	1.028857453
256	1.028736319
257	1.028636392
258	1.028447563
259	1.028327246
260	1.028167061
261	1.02795455
262	1.027651697
263	1.027485341
264	1.027373349
265	1.027297507
266	1.027186037
267	1.027047743
268	1.026900657
269	1.026599197
270	1.026442774
271	1.026155181
272	1.026036471
273	1.025950375
274	1.02566184
275	1.025557266
276	1.025428212
277	1.025304095
278	1.025259527
279	1.025031355
280	1.024863391
281	1.02473446
282	1.024532491
283	1.02431051
284	1.024201812
285	1.024052385
286	1.023800583
287	1.023566585
288	1.023368885
289	1.023281558
290	1.023071697
291	1.0228437
292	1.022792978
293	1.022690422
294	1.022549645
295	1.022413191
296	1.022272634
297	1.022190811
298	1.022092808
299	1.021994905
300	1.02184828
301	1.021687945
302	1.02155398
303	1.021349761
304	1.021236558
305	1.021104357
306	1.020945977
307	1.020857228
308	1.020749853
309	1.020539419
310	1.020412706
311	1.020235403
312	1.020177684
313	1.020103816
314	1.019990429
315	1.019853905
316	1.019777899
317	1.019608059
318	1.019454823
319	1.019355164
320	1.019173911
321	1.019042876
322	1.018975127
323	1.018803266
324	1.018667576
325	1.01849791
326	1.018392186
327	1.018334998
328	1.018109342
329	1.017982615
330	1.017889497
331	1.017736363
332	1.01759269
333	1.017542018
334	1.017426981
335	1.017328214
336	1.017149753
337	1.016948726
338	1.016895957
339	1.016658874
